id,titulo,duracao_s,contagem_palavras,fonte,role
C27Dd23jZzA,When Did Ancient Humans Start Smoking?,1314,3219,whisperX,profile
th-0rmRYBSg,Why Ancient Humans Went From Black to White?,1340,3267,whisperX,profile
yKqe_ey3QOs,Why Did Ancient Humans Start Wearing Clothes?,1206,3208,whisperX,profile
NcITexwM0Fg,How Did Ancient Women Handle Their Periods?,1251,3182,whisperX,profile
Leol0DxxGe4,Do Wild Animals Know When a Human Is Helping Them?,1196,3319,whisperX,profile
z1StpnRL4k4,How Did Humans Invent Guns?,1281,3427,whisperX,profile
dD9fXUGbfbA,Why Are Animals Scared of Humans?,1103,3037,whisperX,profile
pPm3vHUQCpo,How Did Ancient Humans Survive Endless Rain?,1486,3786,whisperX,profile
AvF3bPcqZeM,How Did Ancient Humans Survive Predators?,1309,3486,whisperX,profile
Qgz_k2JQ3UY,What Did Ancient Humans Do All Day With No Jobs?,1373,3554,whisperX,profile
1LM21yDJq-0,Why Did Your Baby Memories Disappear?,1279,3369,whisperX,profile
rk7qIWcLJ40,How Did Ancient Humans Survive Without Medicine?,1281,3346,whisperX,profile
wihLSMVD6iM,When Did Ancient Humans First Drink Alcohol?,1516,3698,whisperX,profile
uHDxhzZGGmU,Did Ancient Humans Have a Private Life?,1334,3503,whisperX,profile
lkLwp9o7Djk,What Did Ancient Humans Do With the Mentally Ill?,1301,3130,whisperX,profile
88xZotShpxY,Did Autistic Traits Help Ancient Tribes?,1201,3292,whisperX,profile
5agqeNtjstU,Did Ancient Humans Have One Partner?,1362,3331,whisperX,profile
f59QqKgwuq0,What Was Black Life Like Through History?,1409,3270,whisperX,profile
5unhHRFkC7I,Do Animals Know When a Human is Sad?,1313,3271,whisperX,profile
kLYsABip8tI,Is Your Inner Voice Really You?,1438,3650,whisperX,profile
qsBitnO8djE,Why Did Ancient Humans Die Young?,1324,3211,whisperX,profile
7xgt_LQxedc,How Did Vikings Stay Warm on Freezing Ships?,1400,3512,whisperX,profile
pJYm-8WQbEE,Do Animals Know They're Alive?,1039,3099,whisperX,profile
MMycNJ05f8M,What Strange Traits Are Humans Evolving Right Now?,1586,3602,whisperX,profile
McXn53SKXYg,How Did Ancient Humans Travel So Far?,1553,3584,whisperX,profile
Y_-aMBlHWgE,What Happens When You Become Conscious Inside a Dream?,1305,3530,whisperX,profile
0neQIzWDXaM,Why Does Time Feel Faster as You Age?,1395,3485,whisperX,profile
V_Yx8gJCCUw,How Did Humans Communicate Before Speech?,1442,3676,whisperX,profile
bft1YyeSY_w,How Did Ancient Humans Punish Criminals?,1564,3764,whisperX,profile
6SapuAcHmDk,Were Ancient Humans Attractive?,1476,3330,whisperX,profile
0KKM5XQbiOc,What CRAZY Tricks Did Ancient Humans Use in Winter?,1372,,,holdout
jeZwxrjrtVI,What Did Ancient Humans Actually Do for Fun?,1507,,,holdout
J5l_4vPxI6Q,How Did the Other 6 Civilizations Disappear?,1554,,,holdout
jNwH_nh5sxQ,Did Ancient Humans Reproduce With Family Members?,1603,,,holdout
4Nqr1sBM4dE,Why Do Humans Mostly Drink Cow’s Milk?,1610,,,holdout
