id,titulo,duracao_s,contagem_palavras,fonte
5tjzei0JOL8,What Happens After We Die?,496,1542,legenda
Dw2Pifv1JrM,What Did Surgery Feel Like Before Anesthesia?,547,1780,legenda
FqLPYQRs6Sk,The Bliss Point,483,1665,legenda
GqXXtxAyx0Q,What If Nobody Held You as a Baby?,541,1689,legenda
HooBxU_HRbM,Why Are Exactly 10% of People Left-Handed?,517,1656,legenda
IlCq6a0sDCk,Why Hasn't Anyone Raised the Titanic?,623,1926,legenda
L7FSwztrda4,Are You Real?,499,1728,legenda
LYMwaaRZ-wo,What Happens to Unvisited Graves?,547,1520,legenda
LuCans9euxY,The Calhoun Effect,513,1636,legenda
OkR_u0neUc8,What If Humans Lived 4.5 Billion Years Ago?,481,1602,legenda
QZNB21kQCgQ,What Did Ancient Humans Do All Day?,529,1795,legenda
RBlS6iNpl50,Why Don't Dragons Exist?,512,1664,legenda
W9hRteFVYCc,The Spotlight Effect,500,1730,legenda
ZJai7C3tb1M,The Pratfall Effect,238,773,legenda
ZYG4Dg9JEMw,Why Are Humans Dumber Now?,626,1762,legenda
_XYNsTvnU7E,What If WE Are The Aliens?,632,2002,legenda
_xGwOhFLdno,The Slotow Effect,696,2140,legenda
d8lMW1uDN4s,What Did Ancient Humans Actually Eat?,484,1544,legenda
gEnnt7fDn5Y,The ENTIRE History of MONEY,778,2507,legenda
royoy7-PyTw,Why You Can't Remember Being a Baby,414,1299,legenda
st_Ah6Ykbh4,What Did Ancient Humans Do at Night?,512,1598,legenda
FKpfsLuTYOI,Were Ancient Humans Loyal to One Partner?,483,1634,whisperX
6jZWZokuQuc,Why Were Vikings So Scared at Night?,482,1606,whisperX
SRWmJj0zBs0,When Do You Peak in Life?,511,1701,whisperX
9k817syA7SY,The Marshmallow Effect,500,1740,whisperX
kGOJvM7HAp0,Why No Animal Has Ever Evolved A Wheel,518,1758,whisperX
U-QW-HkDOmA,How a Mosquito Chooses Who to Bite,540,1756,whisperX
TGWu6Hpc118,Would You Know If You Were Stupid?,481,1749,whisperX
jBM7m-LcT2I,Do Animals Remember Human Faces?,427,1592,whisperX
YJvPmgRz2Mw,What Do Blind People Actually See?,499,1577,whisperX
